"Number of holes, nh","Web-post width, WP (mm)","Web opening diameter, Do (mm)",Ply 1 (ø),Ply 2 (ø),Ply 3 (ø),Ply 4 (ø),Ply 5 (ø),Ply 6 (ø),Ply 7 (ø),Ply 8 (ø),Critical Buckling Load (N),Critical Buckling Load (kN)
4,4,40,-45,45,90,0,0,90,45,-45,15833.19046,15.83319046
4,4,40,-45,90,0,45,45,0,90,-45,11138.59731,11.13859731
4,4,40,-45,90,45,0,0,45,90,-45,12657.41192,12.65741192
4,4,40,0,-45,45,90,90,45,-45,0,11786.91111,11.78691111
4,4,40,0,-45,90,45,45,90,-45,0,10498.26071,10.49826071
4,4,40,0,45,-45,90,90,-45,45,0,11786.31977,11.78631977
4,4,40,0,45,90,-45,-45,90,45,0,10497.62936,10.49762936
4,4,40,0,90,-45,45,45,-45,90,0,9725.770108,9.725770108
4,4,40,0,90,45,-45,-45,45,90,0,9725.363155,9.725363155
4,4,40,45,-45,0,90,90,0,-45,45,15948.61469,15.94861469
4,4,40,45,-45,90,0,0,90,-45,45,15832.89408,15.83289408
4,4,40,45,0,-45,90,90,-45,0,45,12395.97638,12.39597638
4,4,40,45,0,90,-45,-45,90,0,45,10838.66973,10.83866973
4,4,40,45,90,-45,0,0,-45,90,45,12656.78711,12.65678711
4,4,40,45,90,0,-45,-45,0,90,45,11137.92254,11.13792254
4,4,40,90,-45,0,45,45,0,-45,90,9616.213672,9.616213672
4,4,40,90,-45,45,0,0,45,-45,90,10504.53837,10.50453837
4,4,40,90,0,-45,45,45,-45,0,90,8778.011468,8.778011468
4,4,40,90,0,45,-45,-45,45,0,90,8777.837733,8.777837733
4,4,40,90,45,-45,0,0,-45,45,90,10504.12837,10.50412837
4,4,40,90,45,0,-45,-45,0,45,90,9615.896075,9.615896075
4,4,45,-45,0,45,90,90,45,0,-45,11169.09518,11.16909518
4,4,45,-45,0,90,45,45,90,0,-45,9774.213311,9.774213311
4,4,45,-45,45,0,90,90,0,45,-45,14308.78656,14.30878656
4,4,45,-45,45,90,0,0,90,45,-45,14278.70163,14.27870163
4,4,45,-45,90,0,45,45,0,90,-45,10068.99374,10.06899374
4,4,45,-45,90,45,0,0,45,90,-45,11429.2133,11.4292133
4,4,45,0,-45,45,90,90,45,-45,0,10593.58373,10.59358373
4,4,45,0,-45,90,45,45,90,-45,0,9433.885872,9.433885872
4,4,45,0,45,-45,90,90,-45,45,0,10593.0944,10.5930944
4,4,45,0,45,90,-45,-45,90,45,0,9433.4626,9.4334626
4,4,45,0,90,-45,45,45,-45,90,0,8765.848608,8.765848608
4,4,45,0,90,45,-45,-45,45,90,0,8765.685418,8.765685418
4,4,45,45,-45,0,90,90,0,-45,45,14309.24475,14.30924475
4,4,45,45,-45,90,0,0,90,-45,45,14278.87827,14.27887827
4,4,45,45,0,-45,90,90,-45,0,45,11168.80156,11.16880156
4,4,45,45,0,90,-45,-45,90,0,45,9774.235511,9.774235511
4,4,45,45,90,-45,0,0,-45,90,45,11428.8746,11.4288746
4,4,45,45,90,0,-45,-45,0,90,45,10068.70371,10.06870371
4,4,45,90,-45,0,45,45,0,-45,90,8674.296141,8.674296141
4,4,45,90,-45,45,0,0,45,-45,90,9453.532305,9.453532305
4,4,45,90,0,-45,45,45,-45,0,90,7915.325197,7.915325197
4,4,45,90,0,45,-45,-45,45,0,90,7915.057748,7.915057748
4,4,45,90,45,-45,0,0,-45,45,90,9453.115784,9.453115784
4,4,45,90,45,0,-45,-45,0,45,90,8673.719525,8.673719525
4,4.5,35,-45,0,45,90,90,45,0,-45,13391.30864,13.39130864
4,4.5,35,-45,0,90,45,45,90,0,-45,11690.89662,11.69089662
4,4.5,35,-45,45,0,90,90,0,45,-45,17089.81001,17.08981001
4,4.5,35,-45,45,90,0,0,90,45,-45,16931.68792,16.93168792
4,4.5,35,-45,90,0,45,45,0,90,-45,11942.90845,11.94290845
4,4.5,35,-45,90,45,0,0,45,90,-45,13574.40411,13.57440411
4,4.5,35,0,-45,45,90,90,45,-45,0,12777.68181,12.77768181
4,4.5,35,0,-45,90,45,45,90,-45,0,11410.2564,11.4102564
4,4.5,35,0,45,-45,90,90,-45,45,0,12776.94756,12.77694756
4,4.5,35,0,45,90,-45,-45,90,45,0,11409.54517,11.40954517
4,4.5,35,0,90,-45,45,45,-45,90,0,10471.45258,10.47145258
4,4.5,35,0,90,45,-45,-45,45,90,0,10471.53458,10.47153458
4,4.5,35,45,-45,0,90,90,0,-45,45,17089.17928,17.08917928
4,4.5,35,45,-45,90,0,0,90,-45,45,16931.25955,16.93125955
4,4.5,35,45,0,-45,90,90,-45,0,45,13390.75672,13.39075672
4,4.5,35,45,0,90,-45,-45,90,0,45,11690.36783,11.69036783
4,4.5,35,45,90,-45,0,0,-45,90,45,13573.91502,13.57391502
4,4.5,35,45,90,0,-45,-45,0,90,45,11942.34296,11.94234296
4,4.5,35,90,-45,0,45,45,0,-45,90,10363.01983,10.36301983
4,4.5,35,90,-45,45,0,0,45,-45,90,11310.90002,11.31090002
4,4.5,35,90,0,-45,45,45,-45,0,90,9498.659191,9.498659191
4,4.5,35,90,0,45,-45,-45,45,0,90,9498.576021,9.498576021
4,4.5,35,90,45,-45,0,0,-45,45,90,11310.63528,11.31063528
4,4.5,35,90,45,0,-45,-45,0,45,90,10362.57764,10.36257764
4,4.5,40,-45,0,45,90,90,45,0,-45,12436.94994,12.43694994
4,4.5,40,-45,0,90,45,45,90,0,-45,10884.69226,10.88469226
4,4.5,40,-45,45,0,90,90,0,45,-45,15955.10678,15.95510678
4,4.5,40,-45,45,90,0,0,90,45,-45,15826.14961,15.82614961
4,4.5,40,-45,90,0,45,45,0,90,-45,11152.64445,11.15264445
4,4.5,40,-45,90,45,0,0,45,90,-45,12659.88304,12.65988304
4,4.5,40,0,-45,45,90,90,45,-45,0,11825.92945,11.82592945
4,4.5,40,0,-45,90,45,45,90,-45,0,10558.81296,10.55881296
4,4.5,40,0,45,-45,90,90,-45,45,0,11825.1828,11.8251828
4,4.5,40,0,45,90,-45,-45,90,45,0,10557.29906,10.55729906
4,4.5,40,0,90,-45,45,45,-45,90,0,9767.715471,9.767715471
4,4.5,40,0,90,45,-45,-45,45,90,0,9766.868033,9.766868033
4,4.5,40,45,-45,0,90,90,0,-45,45,15955.49043,15.95549043
4,4.5,40,45,-45,90,0,0,90,-45,45,15826.65625,15.82665625
4,4.5,40,45,0,-45,90,90,-45,0,45,12436.72619,12.43672619
4,4.5,40,45,0,90,-45,-45,90,0,45,10882.68252,10.88268252
4,4.5,40,45,90,-45,0,0,-45,90,45,12659.53605,12.65953605
4,4.5,40,45,90,0,-45,-45,0,90,45,11151.88867,11.15188867
4,4.5,40,90,-45,0,45,45,0,-45,90,9633.308566,9.633308566
4,4.5,40,90,-45,45,0,0,45,-45,90,10510.33617,10.51033617
4,4.5,40,90,0,-45,45,45,-45,0,90,8817.564516,8.817564516
4,4.5,40,90,0,45,-45,-45,45,0,90,8817.403985,8.817403985
4,4.5,40,90,45,-45,0,0,-45,45,90,10509.68567,10.50968567
4,4.5,40,90,45,0,-45,-45,0,45,90,9632.785799,9.632785799
4,4.5,45,-45,0,45,90,90,45,0,-45,11221.70685,11.22170685
4,4.5,45,-45,0,90,45,45,90,0,-45,9829.167659,9.829167659
4,4.5,45,-45,45,0,90,90,0,45,-45,14328.96354,14.32896354
4,4.5,45,-45,45,90,0,0,90,45,-45,14281.27663,14.28127663
4,4.5,45,-45,90,0,45,45,0,90,-45,10091.14091,10.09114091
4,4.5,45,-45,90,45,0,0,45,90,-45,11440.03516,11.44003516
4,4.5,45,0,-45,45,90,90,45,-45,0,10644.37589,10.64437589
4,4.5,45,0,-45,90,45,45,90,-45,0,9504.923597,9.504923597
4,4.5,45,0,45,-45,90,90,-45,45,0,10642.70263,10.64270263
4,4.5,45,0,45,90,-45,-45,90,45,0,9502.325825,9.502325825
4,4.5,45,0,90,-45,45,45,-45,90,0,8824.241773,8.824241773
4,4.5,45,0,90,45,-45,-45,45,90,0,8823.527932,8.823527932
4,4.5,45,45,-45,0,90,90,0,-45,45,14329.46554,14.32946554
4,4.5,45,45,-45,90,0,0,90,-45,45,14281.91618,14.28191618
4,4.5,45,45,0,-45,90,90,-45,0,45,11220.48984,11.22048984
4,4.5,45,45,0,90,-45,-45,90,0,45,9827.299063,9.827299063
4,4.5,45,45,90,-45,0,0,-45,90,45,11440.14713,11.44014713
4,4.5,45,45,90,0,-45,-45,0,90,45,10090.37683,10.09037683
4,4.5,45,90,-45,0,45,45,0,-45,90,8700.525471,8.700525471
4,4.5,45,90,-45,45,0,0,45,-45,90,9464.808521,9.464808521
4,4.5,45,90,0,-45,45,45,-45,0,90,7966.913221,7.966913221
4,4.5,45,90,0,45,-45,-45,45,0,90,7966.496659,7.966496659
4,4.5,45,90,45,-45,0,0,-45,45,90,9464.602559,9.464602559
4,4.5,45,90,45,0,-45,-45,0,45,90,8699.918891,8.699918891
5,3.5,35,-45,0,45,90,90,45,0,-45,12885.92883,12.88592883
5,3.5,35,-45,0,90,45,45,90,0,-45,11241.36637,11.24136637
5,3.5,35,-45,45,0,90,90,0,45,-45,16581.54191,16.58154191
5,3.5,35,-45,45,90,0,0,90,45,-45,16490.70005,16.49070005
5,3.5,35,-45,90,0,45,45,0,90,-45,11601.35546,11.60135546
5,3.5,35,-45,90,45,0,0,45,90,-45,13206.95623,13.20695623
5,3.5,35,0,-45,45,90,90,45,-45,0,12191.54053,12.19154053
5,3.5,35,0,-45,90,45,45,90,-45,0,10858.23653,10.85823653
5,3.5,35,0,45,-45,90,90,-45,45,0,12192.03007,12.19203007
5,3.5,35,0,45,90,-45,-45,90,45,0,10859.71997,10.85971997
5,3.5,35,0,90,-45,45,45,-45,90,0,9970.529622,9.970529622
5,3.5,35,0,90,45,-45,-45,45,90,0,9970.473621,9.970473621
5,3.5,35,45,-45,0,90,90,0,-45,45,16581.27681,16.58127681
5,3.5,35,45,-45,90,0,0,90,-45,45,16490.3245,16.4903245
5,3.5,35,45,0,-45,90,90,-45,0,45,12886.23857,12.88623857
5,3.5,35,45,0,90,-45,-45,90,0,45,11241.68317,11.24168317
5,3.5,35,45,90,-45,0,0,-45,90,45,13206.21294,13.20621294
5,3.5,35,45,90,0,-45,-45,0,90,45,11600.16447,11.60016447
5,3.5,35,90,-45,0,45,45,0,-45,90,10000.60257,10.00060257
5,3.5,35,90,-45,45,0,0,45,-45,90,10927.90759,10.92790759
5,3.5,35,90,0,-45,45,45,-45,0,90,9054.206614,9.054206614
5,3.5,35,90,0,45,-45,-45,45,0,90,9054.297304,9.054297304
5,3.5,35,90,45,-45,0,0,-45,45,90,10927.84776,10.92784776
5,3.5,35,90,45,0,-45,-45,0,45,90,10000.28784,10.00028784
5,3.5,40,-45,0,45,90,90,45,0,-45,11677.18363,11.67718363
5,3.5,40,-45,0,90,45,45,90,0,-45,10194.32509,10.19432509
5,3.5,40,-45,45,0,90,90,0,45,-45,14938.93412,14.93893412
5,3.5,40,-45,45,90,0,0,90,45,-45,14891.5593,14.8915593
5,3.5,40,-45,90,0,45,45,0,90,-45,10497.93796,10.49793796
5,3.5,40,-45,90,45,0,0,45,90,-45,11953.08164,11.95308164
5,3.5,40,0,-45,45,90,90,45,-45,0,10992.07176,10.99207176
5,3.5,40,0,-45,90,45,45,90,-45,0,9786.26117,9.78626117
5,3.5,40,0,45,-45,90,90,-45,45,0,10991.60692,10.99160692
5,3.5,40,0,45,90,-45,-45,90,45,0,9784.268575,9.784268575
5,3.5,40,0,90,-45,45,45,-45,90,0,8994.038139,8.994038139
5,3.5,40,0,90,45,-45,-45,45,90,0,8992.570986,8.992570986
5,3.5,40,45,-45,0,90,90,0,-45,45,14940.41284,14.94041284
5,3.5,40,45,-45,90,0,0,90,-45,45,14892.2106,14.8922106
5,3.5,40,45,0,-45,90,90,-45,0,45,11678.84507,11.67884507
5,3.5,40,45,0,90,-45,-45,90,0,45,10194.35381,10.19435381
5,3.5,40,45,90,-45,0,0,-45,90,45,11952.38153,11.95238153
5,3.5,40,45,90,0,-45,-45,0,90,45,10496.06908,10.49606908
5,3.5,40,90,-45,0,45,45,0,-45,90,9057.748605,9.057748605
5,3.5,40,90,-45,45,0,0,45,-45,90,9902.841637,9.902841637
5,3.5,40,90,0,-45,45,45,-45,0,90,8142.671394,8.142671394
5,3.5,40,90,0,45,-45,-45,45,0,90,8141.839704,8.141839704
5,3.5,40,90,45,-45,0,0,-45,45,90,9901.850804,9.901850804
5,3.5,40,90,45,0,-45,-45,0,45,90,9055.742443,9.055742443
5,3.5,45,-45,0,45,90,90,45,0,-45,10493.50252,10.49350252
5,3.5,45,-45,0,90,45,45,90,0,-45,9221.797947,9.221797947
5,3.5,45,-45,45,0,90,90,0,45,-45,13236.14869,13.23614869
5,3.5,45,-45,45,90,0,0,90,45,-45,13112.73083,13.11273083
5,3.5,45,-45,90,0,45,45,0,90,-45,9289.392549,9.289392549
5,3.5,45,-45,90,45,0,0,45,90,-45,10541.95333,10.54195333
5,3.5,45,0,-45,45,90,90,45,-45,0,9739.20767,9.73920767
5,3.5,45,0,-45,90,45,45,90,-45,0,8750.864848,8.750864848
5,3.5,45,0,45,-45,90,90,-45,45,0,9738.011272,9.738011272
5,3.5,45,0,45,90,-45,-45,90,45,0,8748.48974,8.74848974
5,3.5,45,0,90,-45,45,45,-45,90,0,8098.513028,8.098513028
5,3.5,45,0,90,45,-45,-45,45,90,0,8097.719709,8.097719709
5,3.5,45,45,-45,0,90,90,0,-45,45,13235.532,13.235532
5,3.5,45,45,-45,90,0,0,90,-45,45,13112.50742,13.11250742
5,3.5,45,45,0,-45,90,90,-45,0,45,10492.75963,10.49275963
5,3.5,45,45,0,90,-45,-45,90,0,45,9219.940153,9.219940153
5,3.5,45,45,90,-45,0,0,-45,90,45,10541.36722,10.54136722
5,3.5,45,45,90,0,-45,-45,0,90,45,9288.053462,9.288053462
5,3.5,45,90,-45,0,45,45,0,-45,90,8007.456734,8.007456734
5,3.5,45,90,-45,45,0,0,45,-45,90,8762.574343,8.762574343
5,3.5,45,90,0,-45,45,45,-45,0,90,7202.810285,7.202810285
5,3.5,45,90,0,45,-45,-45,45,0,90,7202.463426,7.202463426
5,3.5,45,90,45,-45,0,0,-45,45,90,8761.981029,8.761981029
5,3.5,45,90,45,0,-45,-45,0,45,90,8006.421633,8.006421633
5,4,35,-45,0,45,90,90,45,0,-45,14113.66523,14.11366523
5,4,35,-45,0,90,45,45,90,0,-45,12270.89428,12.27089428
5,4,35,-45,45,0,90,90,0,45,-45,17945.81978,17.94581978
5,4,35,-45,45,90,0,0,90,45,-45,17822.07344,17.82207344
5,4,35,-45,90,0,45,45,0,90,-45,12585.47771,12.58547771
5,4,35,-45,90,45,0,0,45,90,-45,14305.82246,14.30582246
5,4,35,0,-45,45,90,90,45,-45,0,13444.67616,13.44467616
5,4,35,0,-45,90,45,45,90,-45,0,12014.36777,12.01436777
5,4,35,0,45,-45,90,90,-45,45,0,13443.25855,13.44325855
5,4,35,0,45,90,-45,-45,90,45,0,12011.98875,12.01198875
5,4,35,0,90,-45,45,45,-45,90,0,10922.2345,10.9222345
5,4,35,0,90,45,-45,-45,45,90,0,10921.30312,10.92130312
5,4,35,45,-45,0,90,90,0,-45,45,17945.49889,17.94549889
5,4,35,45,-45,90,0,0,90,-45,45,17822.12223,17.82212223
5,4,35,45,0,-45,90,90,-45,0,45,14113.26694,14.11326694
5,4,35,45,0,90,-45,-45,90,0,45,12269.23976,12.26923976
5,4,35,45,90,-45,0,0,-45,90,45,14305.49132,14.30549132
5,4,35,45,90,0,-45,-45,0,90,45,12584.67552,12.58467552
5,4,35,90,-45,0,45,45,0,-45,90,10908.40107,10.90840107
5,4,35,90,-45,45,0,0,45,-45,90,11916.53429,11.91653429
5,4,35,90,0,-45,45,45,-45,0,90,9997.987204,9.997987204
5,4,35,90,0,45,-45,-45,45,0,90,9997.681868,9.997681868
5,4,35,90,45,-45,0,0,-45,45,90,11915.88834,11.91588834
5,4,35,90,45,0,-45,-45,0,45,90,10907.52459,10.90752459
5,4,40,-45,0,45,90,90,45,0,-45,11754.93254,11.75493254
5,4,40,-45,0,90,45,45,90,0,-45,10264.94056,10.26494056
5,4,40,-45,45,0,90,90,0,45,-45,14967.85647,14.96785647
5,4,40,-45,45,90,0,0,90,45,-45,14906.59114,14.90659114
5,4,40,-45,90,0,45,45,0,90,-45,10534.46145,10.53446145
5,4,40,-45,90,45,0,0,45,90,-45,11980.85412,11.98085412
5,4,40,0,-45,45,90,90,45,-45,0,11067.68012,11.06768012
5,4,40,0,-45,90,45,45,90,-45,0,9887.033951,9.887033951
5,4,40,0,45,-45,90,90,-45,45,0,11066.33001,11.06633001
5,4,40,0,45,90,-45,-45,90,45,0,9884.598108,9.884598108
5,4,40,0,90,-45,45,45,-45,90,0,9061.999146,9.061999146
5,4,40,0,90,45,-45,-45,45,90,0,9061.010257,9.061010257
5,4,40,45,-45,0,90,90,0,-45,45,14967.83394,14.96783394
5,4,40,45,-45,90,0,0,90,-45,45,14906.50999,14.90650999
5,4,40,45,0,-45,90,90,-45,0,45,11754.70945,11.75470945
5,4,40,45,0,90,-45,-45,90,0,45,10263.75766,10.26375766
5,4,40,45,90,-45,0,0,-45,90,45,11980.22166,11.98022166
5,4,40,45,90,0,-45,-45,0,90,45,10533.2126,10.5332126
5,4,40,90,-45,0,45,45,0,-45,90,9110.623067,9.110623067
5,4,40,90,-45,45,0,0,45,-45,90,9946.354596,9.946354596
5,4,40,90,0,-45,45,45,-45,0,90,8215.26755,8.21526755
5,4,40,90,0,45,-45,-45,45,0,90,8214.6241,8.2146241
5,4,40,90,45,-45,0,0,-45,45,90,9945.844348,9.945844348
5,4,40,90,45,0,-45,-45,0,45,90,9109.612516,9.109612516
5,4,45,-45,0,45,90,90,45,0,-45,10589.25855,10.58925855
5,4,45,-45,0,90,45,45,90,0,-45,9279.025129,9.279025129
5,4,45,-45,45,0,90,90,0,45,-45,13269.23963,13.26923963
5,4,45,-45,45,90,0,0,90,45,-45,13136.66799,13.13666799
5,4,45,-45,90,0,45,45,0,90,-45,9329.460127,9.329460127
5,4,45,-45,90,45,0,0,45,90,-45,10577.53406,10.57753406
5,4,45,0,-45,45,90,90,45,-45,0,9808.121356,9.808121356
5,4,45,0,-45,90,45,45,90,-45,0,8863.267362,8.863267362
5,4,45,0,45,-45,90,90,-45,45,0,9806.666889,9.806666889
5,4,45,0,45,90,-45,-45,90,45,0,8860.461878,8.860461878
5,4,45,0,90,-45,45,45,-45,90,0,8170.371067,8.170371067
5,4,45,0,90,45,-45,-45,45,90,0,8169.525566,8.169525566
5,4,45,45,-45,0,90,90,0,-45,45,13268.87279,13.26887279
5,4,45,45,-45,90,0,0,90,-45,45,13136.23779,13.13623779
5,4,45,45,0,-45,90,90,-45,0,45,10588.59769,10.58859769
5,4,45,45,0,90,-45,-45,90,0,45,9277.868934,9.277868934
5,4,45,45,90,-45,0,0,-45,90,45,10576.92032,10.57692032
5,4,45,45,90,0,-45,-45,0,90,45,9328.408524,9.328408524
5,4,45,90,-45,0,45,45,0,-45,90,8064.048443,8.064048443
5,4,45,90,-45,45,0,0,45,-45,90,8815.887894,8.815887894
5,4,45,90,0,-45,45,45,-45,0,90,7268.05565,7.26805565
5,4,45,90,0,45,-45,-45,45,0,90,7267.582898,7.267582898
5,4,45,90,45,-45,0,0,-45,45,90,8815.402453,8.815402453
5,4,45,90,45,0,-45,-45,0,45,90,8063.060361,8.063060361
5,4.5,35,-45,0,45,90,90,45,0,-45,13002.79605,13.00279605
5,4.5,35,-45,0,90,45,45,90,0,-45,11345.56038,11.34556038
5,4.5,35,-45,45,0,90,90,0,45,-45,16599.08839,16.59908839
5,4.5,35,-45,45,90,0,0,90,45,-45,16499.46718,16.49946718
5,4.5,35,-45,90,0,45,45,0,90,-45,11664.60418,11.66460418
5,4.5,35,-45,90,45,0,0,45,90,-45,13246.85811,13.24685811
5,4.5,35,0,-45,45,90,90,45,-45,0,12312.46612,12.31246612
5,4.5,35,0,-45,90,45,45,90,-45,0,11024.21183,11.02421183
5,4.5,35,0,45,-45,90,90,-45,45,0,12311.28302,12.31128302
5,4.5,35,0,45,90,-45,-45,90,45,0,11022.35443,11.02235443
5,4.5,35,0,90,-45,45,45,-45,90,0,10074.01666,10.07401666
5,4.5,35,0,90,45,-45,-45,45,90,0,10073.17787,10.07317787
5,4.5,35,45,-45,0,90,90,0,-45,45,16598.74134,16.59874134
5,4.5,35,45,-45,90,0,0,90,-45,45,16499.21373,16.49921373
5,4.5,35,45,0,-45,90,90,-45,0,45,13001.65325,13.00165325
5,4.5,35,45,0,90,-45,-45,90,0,45,11343.60833,11.34360833
5,4.5,35,45,90,-45,0,0,-45,90,45,13245.8601,13.2458601
5,4.5,35,45,90,0,-45,-45,0,90,45,11662.82971,11.66282971
5,4.5,35,90,-45,0,45,45,0,-45,90,10084.50082,10.08450082
5,4.5,35,90,-45,45,0,0,45,-45,90,10978.42405,10.97842405
5,4.5,35,90,0,-45,45,45,-45,0,90,9193.341954,9.193341954
5,4.5,35,90,0,45,-45,-45,45,0,90,9192.897009,9.192897009
5,4.5,35,90,45,-45,0,0,-45,45,90,10977.7058,10.9777058
5,4.5,35,90,45,0,-45,-45,0,45,90,10083.19073,10.08319073
5,4.5,40,-45,0,45,90,90,45,0,-45,11824.91212,11.82491212
5,4.5,40,-45,0,90,45,45,90,0,-45,10322.32122,10.32232122
5,4.5,40,-45,45,0,90,90,0,45,-45,14991.63055,14.99163055
5,4.5,40,-45,45,90,0,0,90,45,-45,14921.81694,14.92181694
5,4.5,40,-45,90,0,45,45,0,90,-45,10571.54894,10.57154894
5,4.5,40,-45,90,45,0,0,45,90,-45,12010.33696,12.01033696
5,4.5,40,0,-45,45,90,90,45,-45,0,11138.70207,11.13870207
5,4.5,40,0,-45,90,45,45,90,-45,0,9974.563496,9.974563496
5,4.5,40,0,45,-45,90,90,-45,45,0,11137.594,11.137594
5,4.5,40,0,45,90,-45,-45,90,45,0,9972.590453,9.972590453
5,4.5,40,0,90,-45,45,45,-45,90,0,9119.200944,9.119200944
5,4.5,40,0,90,45,-45,-45,45,90,0,9117.92689,9.11792689
5,4.5,40,45,-45,0,90,90,0,-45,45,14992.10133,14.99210133
5,4.5,40,45,-45,90,0,0,90,-45,45,14922.21456,14.92221456
5,4.5,40,45,0,-45,90,90,-45,0,45,11824.99866,11.82499866
5,4.5,40,45,0,90,-45,-45,90,0,45,10321.46344,10.32146344
5,4.5,40,45,90,-45,0,0,-45,90,45,12009.25474,12.00925474
5,4.5,40,45,90,0,-45,-45,0,90,45,10568.64993,10.56864993
5,4.5,40,90,-45,0,45,45,0,-45,90,9164.762398,9.164762398
5,4.5,40,90,-45,45,0,0,45,-45,90,9991.132717,9.991132717
5,4.5,40,90,0,-45,45,45,-45,0,90,8287.046673,8.287046673
5,4.5,40,90,0,45,-45,-45,45,0,90,8285.518034,8.285518034
5,4.5,40,90,45,-45,0,0,-45,45,90,9990.100435,9.990100435
5,4.5,40,90,45,0,-45,-45,0,45,90,9161.854105,9.161854105
5,4.5,45,-45,0,45,90,90,45,0,-45,10680.26686,10.68026686
5,4.5,45,-45,0,90,45,45,90,0,-45,9314.726894,9.314726894
5,4.5,45,-45,45,0,90,90,0,45,-45,13292.54012,13.29254012
5,4.5,45,-45,45,90,0,0,90,45,-45,13156.55482,13.15655482
5,4.5,45,-45,90,0,45,45,0,90,-45,9367.471973,9.367471973
5,4.5,45,-45,90,45,0,0,45,90,-45,10610.65183,10.61065183
5,4.5,45,0,-45,45,90,90,45,-45,0,9874.530482,9.874530482
5,4.5,45,0,-45,90,45,45,90,-45,0,8971.955253,8.971955253
5,4.5,45,0,45,-45,90,90,-45,45,0,9872.73973,9.87273973
5,4.5,45,0,45,90,-45,-45,90,45,0,8969.022536,8.969022536
